Education,Sex,Name,Initials,Date,Government_Officer,Gov_Officer,Date_Appointed,Rank
Masters,Female,Jossie V. de Varona,JVDV,2004-06-28,0,No,2004-06-28,1
Doctorate,Female,Sonia Balet Dalmau,SBD,2004-08-23,0,No,2004-08-23,2
Doctorate,Female,Maritza Rubio Stipec,MRS,2004-08-23,1,Yes,2004-08-23,3
Doctorate,Male,Hiram Ramirez Rangel,HRR,2004-09-09,0,No,2004-09-09,4
Doctorate,Male,Angel Ruiz Mercado,ARM,2005-07-01,0,No,2005-07-01,5
Doctorate,Female,Rosa Perez Perdomo,RPP,2006-01-04,0,No,2006-01-04,6
Doctorate,Male,Luis A. Aviles Vera,LAAV,2006-11-30,1,Yes,2006-11-30,7
Doctorate,Male,Carlos Toro Vizcarrondo,CTV,2008-06-01,0,No,2008-06-01,8
Doctorate,Male,Jose Jaime Rivera,JJR,2008-07-01,1,Yes,2008-07-01,9
Doctorate,Male,Johnny Rullan,JR,2008-09-22,0,No,2008-09-22,10
Bachelors ,Male,Hector Morales Vargas,HMV,2009-04-02,0,No,2009-04-02,11
Masters,Female,Nanette Ortiz Puig,NOP,2009-11-12,0,No,2009-11-12,12
Doctorate,Male,Felix Cue,FC,2010-06-25,1,Yes,2010-06-25,13
Masters,Male,Evaristo Medina Irizarry,EMI,2010-07-01,0,No,2010-07-01,14
Bachelors ,Male,Marco G. Matos Rios,MGMR,2010-07-13,0,No,2010-07-13,15
Bachelors ,Male,Manuel Cardona Martinez,MCM,2010-09-10,1,Yes,2010-09-10,16
Masters,Male,Ruben Flores Marzan,RFM,2011-07-01,0,No,2011-07-01,17
Masters,Male,Joel O. Melendez Diaz,JOMD,2011-08-12,0,No,2011-08-12,18
Masters,Male,Mario J. Iturrino,MJI,2012-09-20,0,No,2012-09-20,19
Juris Doctor,Male,Alex Lopez Echegaray,ALE,2012-12-27,1,Yes,2012-12-27,20
Bachelors ,Female,Bethsie Rosa Reyes,BRR,2012-12-27,0,No,2012-12-27,21
Doctorate,Female,Ana L. Davila,ALD,2013-11-12,0,No,2013-11-12,22
Doctorate,Female,Sonia Balet Dalmau,SBD2,2013-11-18,0,No,2013-11-18,23
Doctorate,Male,Antonio Fernos Sagebien,AFS,2016-07-28,0,No,2016-07-28,24
Masters,Male,Arnaldo Cruz,AC,2016-07-28,0,No,2016-07-28,25
Doctorate,Female,Marta Alvarez,MA,2016-12-06,0,No,2016-12-06,26
Juris Doctor,Male,Alex Lopez Echegaray,ALE2,2017-07-21,1,Yes,2017-07-21,27
Bachelors ,Female,Jeanelle Alemar,JA,2017-07-21,0,No,2017-07-21,28
Juris Doctor,Female,Maria Gordillo,MG,2017-07-21,1,Yes,2017-07-21,29
Bachelors ,Male,Harry Santiago,HS,2018-11-28,0,No,2018-11-28,30
Masters,Male,Nicolas Muñoz,NM,2018-11-28,0,No,2018-11-28,31
Bachelors ,Male,Manuel Laboy,ML,2018-11-28,1,Yes,2018-11-28,32
Masters,Female,Jossie V. de Varona,JVDV,2008-09-22,0,No,2004-06-28,1
Doctorate,Female,Sonia Balet Dalmau,SBD,2011-07-22,0,No,2004-08-23,2
Doctorate,Female,Maritza Rubio Stipec,MRS,2005-07-01,1,Yes,2004-08-23,3
Doctorate,Male,Hiram Ramirez Rangel,HRR,2005-07-01,0,No,2004-09-09,4
Doctorate,Male,Angel Ruiz Mercado,ARM,2011-08-28,0,No,2005-07-01,5
Doctorate,Female,Rosa Perez Perdomo,RPP,2008-09-15,0,No,2006-01-04,6
Doctorate,Male,Luis A. Aviles Vera,LAAV,2010-07-01,1,Yes,2006-11-30,7
Doctorate,Male,Carlos Toro Vizcarrondo,CTV,2009-07-01,0,No,2008-06-01,8
Doctorate,Male,Jose Jaime Rivera,JJR,2008-07-01,1,Yes,2008-07-01,9
Doctorate,Male,Johnny Rullan,JR,2009-07-01,0,No,2008-09-22,10
Bachelors ,Male,Hector Morales Vargas,HMV,2010-08-31,0,No,2009-04-02,11
Masters,Female,Nanette Ortiz Puig,NOP,2013-08-28,0,No,2009-11-12,12
Doctorate,Male,Felix Cue,FC,2010-09-16,1,Yes,2010-06-25,13
Masters,Male,Evaristo Medina Irizarry,EMI,2010-12-31,0,No,2010-07-01,14
Bachelors ,Male,Marco G. Matos Rios,MGMR,2011-07-01,0,No,2010-07-13,15
Bachelors ,Male,Manuel Cardona Martinez,MCM,2011-07-01,1,Yes,2010-09-10,16
Masters,Male,Ruben Flores Marzan,RFM,2013-07-01,0,No,2011-07-01,17
Masters,Male,Joel O. Melendez Diaz,JOMD,2016-07-27,0,No,2011-08-12,18
Masters,Male,Mario J. Iturrino,MJI,2015-07-01,0,No,2012-09-20,19
Juris Doctor,Male,Alex Lopez Echegaray,ALE,2016-07-27,1,Yes,2012-12-27,20
Bachelors ,Female,Bethsie Rosa Reyes,BRR,2016-08-28,0,No,2012-12-27,21
Doctorate,Female,Ana L. Davila,ALD,2018-08-28,0,No,2013-11-12,22
Doctorate,Female,Sonia Balet Dalmau,SBD2,2018-11-17,0,No,2013-11-18,23
Doctorate,Male,Antonio Fernos Sagebien,AFS,2018-12-03,0,No,2016-07-28,24
Masters,Male,Arnaldo Cruz,AC,2018-12-10,0,No,2016-07-28,25
Doctorate,Female,Marta Alvarez,MA,2018-12-10,0,No,2016-12-06,26
Juris Doctor,Male,Alex Lopez Echegaray,ALE2,2018-12-10,1,Yes,2017-07-21,27
Bachelors ,Female,Jeanelle Alemar,JA,2018-03-18,0,No,2017-07-21,28
Juris Doctor,Female,Maria Gordillo,MG,2018-03-18,1,Yes,2017-07-21,29
Bachelors ,Male,Harry Santiago,HS,2018-12-10,0,No,2018-11-28,30
Masters,Male,Nicolas Muñoz,NM,2018-12-10,0,No,2018-11-28,31
Bachelors ,Male,Manuel Laboy,ML,2018-12-10,1,Yes,2018-11-28,32
